"Contract / Blanket #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"23-466MIL-STWRH-P-50804","","Tools for Northern Area - St Wrhse","W.W. Grainger, Inc.","C","$0.00","MIL - Military Affairs","3PS - Sent","01/01/2023","06/30/2023"
"23-466MIL-PROCU-P-45598","","MIL-Rebid-Sparta HVAC-SE","Doug Eubanks Construction","C","$0.00","MIL - Military Affairs","3PS - Sent","01/04/2023","09/30/2023"
"23-466MIL-MARST-P-50823","","Wall Lockers - MTC Billeting","W.W. Grainger, Inc.","C","$0.00","MIL - Military Affairs","3PS - Sent","01/01/2023","06/30/2023"
"23-466MIL-LNCCH-P-48100","","LCA-GED Vouchers 02-03-2023-SE","GED Testing Service LLC","C","$0.00","MIL - Military Affairs","3PS - Sent","03/06/2023","08/31/2023"
"23-466MIL-LNCCH-P-44818","","LCA-Medical Services-SE","CIMPAR,SC","A","$0.00","MIL - Military Affairs","3PS - Sent","01/01/2023","06/30/2025"
"23-466MIL-LNCCH-P-44714","","LCA-Drivers Education Course-SE","I Can Pass Driving School LLC","A","$0.00","MIL - Military Affairs","3PS - Sent","01/01/2023","06/30/2024"
"23-466MIL-LNCCH-P-43107","","LCA-Desktop Computers-SE","National Tek Services, Inc.","C","$0.00","MIL - Military Affairs","3PS - Sent","10/25/2022","06/30/2023"
"23-466MIL-ILSTM-P-48711","","Steel Fixture Case with Shelves","Wiley Office Equipment","C","$0.00","MIL - Military Affairs","3PS - Sent","03/21/2023","08/31/2023"
"23-466MIL-ILMIL-P-45578","","IMA Billeting Deep Clean and Sanitize","Pink Dove LLC","C","$0.00","MIL - Military Affairs","3PS - Sent","01/09/2023","07/07/2023"
"23-466MIL-ILAIR-P-46089","","182 AW Roof Inspection Services-SE","Weatherproofing Technologies","C","$0.00","MIL - Military Affairs","3PS - Sent","01/18/2023","09/30/2025"
"23-466MIL-ARNFF-P-52027","","MIL-N Riverside Shelving Caging-SE","W.W. Grainger, Inc.","A","$0.00","MIL - Military Affairs","3PS - Sent","06/02/2023","09/30/2023"
"23-466MIL-ARNFF-P-51981","","MIL-Statewide Tools-SE","W.W. Grainger, Inc.","A","$0.00","MIL - Military Affairs","3PS - Sent","06/01/2023","09/30/2023"
"23-466MIL-ARNFF-P-51703","","MIL-CL Leaf Collector-SE","TILES IN STYLE","C","$0.00","MIL - Military Affairs","3PS - Sent","05/25/2023","08/31/2023"
"23-466MIL-ARNFF-P-48304","","MIL-SPEC N Riverside Power Out-SE ","AmpolGroup International Inc","C","$0.00","MIL - Military Affairs","3PS - Sent","03/09/2023","06/30/2023"
"23-466MIL-ARNFF-P-47797","","MIL-Rebid-Mid-America Water Heater-SE","Henson Robinson Company","C","$0.00","MIL - Military Affairs","3PS - Sent","02/27/2023","09/30/2023"
"23-466MIL-ARNFF-P-40111","","MIL-General Jones Boiler BAS-SE","Siemens Industry, Inc","C","$0.00","MIL - Military Affairs","3PS - Sent","08/10/2022","06/30/2025"
"23-448DOIT-TELEC-P-44814","","EMERGENCY JPMC Networks Telecom ","AT & T Corp","E","$688,251.16","DoIT - Department of Innovation and Technology","3PS - Sent","12/10/2022","12/10/2023"
"23-448DOIT-TELEC-P-44472","","Emergency Notice - UPS Generator/Power ","S.E.P.S., INC","E","$105,491.12","DoIT - Department of Innovation and Technology","3PS - Sent","09/10/2022","12/03/2023"
"23-448DOIT-TELEC-P-44259","","JPMC EMERGENCY - Starcom21 Equipment","Motorola Solutions Inc.","E","$6,047,328.28","DoIT - Department of Innovation and Technology","3PS - Sent","11/15/2022","07/31/2023"
"23-448DOIT-TELEC-P-43062","","JPMC Emergency Notice - Starcom21 Maint","Motorola Solutions Inc.","E","$12,451,300.28","DoIT - Department of Innovation and Technology","3PS - Sent","09/29/2022","06/25/2023"
"23-448DOIT-TELEC-P-40429","","Emergency Presidio VOIP/Telecom Contrct","Presidio Networked Solutions Group,  LLC","E","$16,243,358.56","DoIT - Department of Innovation and Technology","3PS - Sent","07/27/2022","06/27/2023"
"23-448DOIT-SEC44-P-38980","","SS - jPMC Entrust Mainframe Master FY23","Entrust Corporation","D","$1,331,189.33","DoIT - Department of Innovation and Technology","3PS - Sent","07/06/2022","06/30/2023"
"23-448DOIT-INFOT-P-52189","","PB JPMC NVP Xerox MFD Printers","Xerox Corporation","M","$0.00","DoIT - Department of Innovation and Technology","3PS - Sent","06/13/2023","06/12/2024"
"23-448DOIT-APP44-P-45949","","JPMC EMERGENCY DocuWare","Com Microfilm Company","E","$236,646.32","DoIT - Department of Innovation and Technology","3PS - Sent","12/19/2022","09/15/2023"
"23-448DOIT-ADMIN-P-50625","","JPMC - Quest Software","CTG Inc. of Illinois","A","$0.00","DoIT - Department of Innovation and Technology","3PS - Sent","05/01/2023","05/01/2033"
"23-448DOIT-ADMIN-P-48241","","MADISON E-rate Round 4 Last Mile Fiber","Madison Network Systems, Inc.","A","$0.00","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
"23-448DOIT-ADMIN-P-47881","","Acunetix 360 IFB","Dynamic Interactive Business Systems, Inc.","A","$0.00","DoIT - Department of Innovation and Technology","3PS - Sent","10/08/2020","10/07/2023"
"23-448DOIT-ADMIN-P-46699","","JPMC - VMWare Master Contract","Zones, Inc.","A","$1,914,435.75","DoIT - Department of Innovation and Technology","3PS - Sent","01/31/2023","01/30/2033"
"23-448DOIT-ADMIN-P-45453","","E-rate Last Mile WAN Circuits FIBER IFB","Frontier North Inc.","A","$989,532.00","DoIT - Department of Innovation and Technology","3PS - Sent","03/23/2020","03/22/2025"
"23-448DOIT-ADMIN-P-42328","","MC-PC & Maint Tech RL Canning 2nd SEFS","RL Canning, Inc.","D","$17,928,795.00","DoIT - Department of Innovation and Technology","3PS - Sent","10/17/2022","09/30/2023"
"23-448DOIT-ADMIN-P-38340","","MC - PC & Maint Tech RL Canning SEFS","RL Canning, Inc.","D","$11,400,150.00","DoIT - Department of Innovation and Technology","3PS - Sent","06/09/2022","06/30/2023"
"23-448DOIT-ADMIN-P-37887","","JPMC SEFS - Multi-Agency IBM ELA FY23","International Business Machines Corporation","D","$1,473,224.82","DoIT - Department of Innovation and Technology","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-REHAB-P-38529","","FY23-DRS5-MJV- PEST CONTROL SERVICES","Rid-All Pest Control Co., Inc","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-MIS44-P-49724","","23-ISD Projector Replacement-REBID","Fox AV Designs","C","$0.00","DHS - Human Services","3PS - Sent","04/26/2023","06/30/2023"
"23-444DHS-MIS44-P-49380","","23-EC ACL Robotics Licenses","Dynamic Interactive Business Systems, Inc.","C","$0.00","DHS - Human Services","3PS - Sent","05/01/2023","04/30/2028"
"23-444DHS-MIS44-P-47239","","FCS Income Verification System-REBID","Equifax Workforce Solutions (TALX)","A","$0.00","DHS - Human Services","3PS - Sent","03/01/2023","02/28/2028"
"23-444DHS-MIS44-P-46825","","23- ISVI BrailleNote Touch 32 Plus","WOODLAKE TECHNOLOGIES, INC.","C","$0.00","DHS - Human Services","3PS - Sent","02/23/2023","06/30/2023"
"23-444DHS-MIS44-P-44791","","SPwSS Con 23-MedSelect Drawer","ARxIUM, Inc.","C","$0.00","DHS - Human Services","3PS - Sent","01/20/2023","06/30/2023"
"23-444DHS-MIS44-P-44419","","23-MH Westlaw  SP w SS Cond","WEST PUBLISHING CORPORATION","C","$0.00","DHS - Human Services","3PS - Sent","12/27/2022","11/30/2023"
"23-444DHS-MIS44-P-43351","","MH Suicide Prevention Virtual Trng ","Psycharmor Institute","A","$0.00","DHS - Human Services","3PS - Sent","12/01/2022","11/30/2026"
"23-444DHS-MIS44-P-42371","","FY23 SS-OCAPS Shapiro ATP Machine","Parata Systems LLC","D","$0.00","DHS - Human Services","3PS - Sent","01/19/2023","06/30/2023"
"23-444DHS-MIS44-P-42160","","23-OCAPS Project Mgmnt Software","National Tek Services, Inc.","C","$0.00","DHS - Human Services","3PS - Sent","11/01/2022","10/31/2025"
"23-444DHS-MIS44-P-42158","","23-IES ScanOptics Maint. ","National Tek Services, Inc.","C","$0.00","DHS - Human Services","3PS - Sent","11/01/2022","10/31/2023"
"23-444DHS-MIS44-P-41650","","DHS IFB Software Engineer","Dynamic Interactive Business Systems, Inc.","A","$0.00","DHS - Human Services","3PS - Sent","10/25/2022","06/30/2027"
"23-444DHS-MIS44-P-39830","","FY23 OCAPS RX Works-Sole Source","ARxIUM, Inc.","D","$0.00","DHS - Human Services","3PS - Sent","08/15/2022","06/30/2023"
"23-444DHS-MIS44-P-39566","","23-DRS Fusion Pro Lic, Upgrades, SMA","WOODLAKE TECHNOLOGIES, INC.","C","$0.00","DHS - Human Services","3PS - Sent","08/15/2022","06/30/2023"
"23-444DHS-MIS44-P-38881","","23-MH ASO Services Sole Source","Carelon Behavorial Health, Inc","D","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-MIS44-P-38212","","FY23-HSIT-JG-ISD N2Y Subs-SP w SS","n2y, LLC","C","$0.00","DHS - Human Services","3PS - Sent","11/01/2022","10/31/2023"
"23-444DHS-MIS44-P-36315","","FY23 SP SS MedSelect License w Support","ARxIUM, Inc.","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-MIS44-P-35461","","23-Health Risk Screening Tool-SP w SS","IntellectAbility","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-MENTH-P-44023","","FY23 Madden Restraint Chair","Safety Restraint Chair Inc","C","$0.00","DHS - Human Services","3PS - Sent","11/21/2022","06/30/2023"
"23-444DHS-ISDIS-P-38481","","FY23-DRS5-MJV-Bus Leases","Midwest Bus Sales Inc.","A","$0.00","DHS - Human Services","3PS - Sent","07/13/2022","06/30/2025"
"23-444DHS-ISDIS-P-35758","","FY23-DRS4-MDR-Fire Ext ","Johnson Controls Fire Protection LP","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-ISDIS-P-35757","","FY23-DRS4-MDR-Fire Alarm Mon","Seico, Inc","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-ISDIS-P-35600","","DRS4-23-MDR-ECSI","Environmental Control Solutions Inc.","A","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2025"
"23-444DHS-ISDIS-P-35366","","FY23-DRS4-MDR- Pest Control","American Pest Control, Inc.","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-ISDIS-P-35084","","FY23-DRS4-MDR-Fire Supresn","Seico, Inc","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-ISDIS-P-35054","","FY23-DRS5-MJV-Electrical Repair & Maint","SCOTT BROS ELECTRIC LLC","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-ISDIS-P-34482","","drs4-23-MDR-HVAC R/M","Doyle Plumbing & Heating Company","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-49859","","DHS-SP Kiley- Home Furniture- FY23","Sauder Manufacturing Co.","C","$0.00","DHS - Human Services","3PS - Sent","04/27/2023","06/30/2023"
"23-444DHS-DEVDI-P-48618","","Kiley- SP- Battery & Capacitors- FY23","AmpolGroup International Inc","C","$0.00","DHS - Human Services","3PS - Sent","03/16/2023","06/30/2023"
"23-444DHS-DEVDI-P-48539","","DHS-SP- Kiley Asphalt Road Repairs-FY23","TILES IN STYLE","C","$0.00","DHS - Human Services","3PS - Sent","03/27/2023","06/30/2023"
"23-444DHS-DEVDI-P-45843","","DHS SP- Kiley Replace Fire Doors","Adam's Trade & Services, Inc.","C","$0.00","DHS - Human Services","3PS - Sent","01/11/2023","06/30/2023"
"23-444DHS-DEVDI-P-45170","","DHS IFB- Kiley Replace Gas/AC Unit","Reicher Industries","A","$0.00","DHS - Human Services","3PS - Sent","01/03/2023","06/30/2023"
"23-444DHS-DEVDI-P-45004","","DHS- SP- Kiley- Appliances- FY23","Cicero Mfg. & Supply Company, Inc.","C","$0.00","DHS - Human Services","3PS - Sent","12/14/2022","06/30/2023"
"23-444DHS-DEVDI-P-44283","","Kiley Residence Insulation- PIF FY23","AmpolGroup International Inc","C","$0.00","DHS - Human Services","3PS - Sent","11/23/2022","06/30/2023"
"23-444DHS-DEVDI-P-43407","","HS45-Kiley- Potholes Patching-FY23 PIF","Buss Landscape Company Inc","C","$0.00","DHS - Human Services","3PS - Sent","11/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-39174","","Kiley - Janitorial Supplies- FY23","KAP Holdings, LLC DBA PartScription","C","$0.00","DHS - Human Services","3PS - Sent","07/13/2022","06/30/2023"
"23-444DHS-DEVDI-P-38443","","FY23-HS45-DR- Pulmonary Function ","Lake Forest Acute Care","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-35513","","DHS SP Kiley - HVAC ","Reicher Industries","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-34813","","FY23-25 HS45- DR- Beauty and Barber ","Sandys","C","$0.00","DHS - Human Services","3PS - Sent","03/18/2022","06/30/2025"
"23-444DHS-DEVDI-P-34257","","REBID- DHS SP Kiley - Breads FY23","ALPHA BAKING CO","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-33806","","DHS SP- Kiley- Supplements July-Dec FY23","KAP Holdings, LLC DBA PartScription","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-33805","","DHS SP- Kiley- Supplements July-Dec FY23","DAKL MANAGEMENT SOLUTIONS, LLC","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-33583","","DHS SP Kiley- Various Meats FY23","Ron's Produce Co., Inc.","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-33582","","DHS SP Kiley - Miscellaneous Foods FY23","Ron's Produce Co., Inc.","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-33580","","FY23- HS45 Kiley -DR- Frozen Meals","Ron's Produce Co., Inc.","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-444DHS-DEVDI-P-33579","","DHS SP - Kiley - Prepared Salads- FY23","Ron's Produce Co., Inc.","C","$0.00","DHS - Human Services","3PS - Sent","07/01/2022","06/30/2023"
"23-440DFPR-SECRE-P-44654","","FPR Remittance Equipment Upgrades SP","RT LAWRENCE CORPORATION ","C","$0.00","FPR - Department of Financial and Professional Regulation","3PS - Sent","12/08/2022","06/30/2023"
"23-427DES-ECOIN-P-49453","","Sole Source-I-ADRF","The Coleridge Initiative Inc.","D","$0.00","DES - Employment Security","3PS - Sent","06/01/2023","06/30/2026"
"23-426DOC-SOURC-P-45096","","IDOC - Transgender Cosmetics - ah","Interior Design by A. Valentine, LLC ","C","$0.00","DOC - Corrections","3PS - Sent","12/19/2022","12/18/2023"
"23-426DOC-MENAR-P-51870","","ICI 23-5032 Dish Wash Detergent 3 Yr Contract 1332 AHE","floor-chem inc","A","$0.00","DOC - Corrections","3PS - Sent","05/19/2023","05/18/2026"
"23-426DOC-ICIDI-P-48792","","58DIX ICI OPTICAL LAB SUPPLIES -MK","DAC Vision Inc.","A","$5,531.75","DOC - Corrections","3PS - Sent","03/21/2023","03/21/2028"
"23-426DOC-HILLC-P-51830","","Hill CC - ICI Small Purchase FDA/USDA Food Bags (MDS)","Bienali Promotions, LLC","C","$7,920.00","DOC - Corrections","3PS - Sent","04/17/2023","04/16/2026"
"23-426DOC-HILLC-P-46420","","MC - Small Purchase Patty Paper for Meat Production ICI (MDS)","Advanced Commodities, Inc.","A","$20,517.30","DOC - Corrections","3PS - Sent","12/08/2022","12/07/2026"
"23-426DOC-HILLC-P-44760","","IFB-MC Pork Trimming for Hill Correctional Center","Advanced Commodities, Inc.","A","$25,460.00","DOC - Corrections","3PS - Sent","11/07/2022","11/06/2025"
"23-426DOC-GRAHA-P-41736","","ICI - Graham IDOC nonwoven polyester mattress cores ","Midwest Nonwovens LLC","A","$247,103.11","DOC - Corrections","3PS - Sent","09/16/2022","09/16/2023"
"23-426DOC-CENTO-P-52330","","IDOC - 523 - ACON COVID 19 TESTS - CARH","Barupon LLC","A","$40,800.00","DOC - Corrections","3PS - Sent","06/12/2023","06/11/2025"
"23-426DOC-CENTO-P-51978","","IDOC - Shelf Stable Halal Meals","TILES IN STYLE","C","$5,943.50","DOC - Corrections","3PS - Sent","06/01/2023","05/31/2025"
"23-426DOC-CENTO-P-50730","","EMERGENCY NOTICE - IDOC Parole Vehicles - Landmark Ford","landmark chrysler-jeep inc.","E","$204,000.00","DOC - Corrections","3PS - Sent","04/20/2023","06/16/2023"
"23-426DOC-CENTO-P-50111","","EMERGENCY NOTICE - IDOC Parole Vehicles - Bob Ridings","Bob Ridings Lincoln Inc","E","$527,000.00","DOC - Corrections","3PS - Sent","03/20/2023","06/16/2023"
"23-426DOC-CENTO-P-41995","","IDOC - Correctional Officer Uniforms","Galls LLC","A","$191,598.00","DOC - Corrections","3PS - Sent","06/28/2022","06/28/2027"
"23-426DOC-CENTO-P-39811","","IDOC - Statewide Frozen Ready to Cook Meats","Advanced Commodities, Inc.","A","$0.00","DOC - Corrections","3PS - Sent","04/20/2022","04/20/2024"
"23-422DNR-OILGA-P-40460","","Zone 2 Leaking Well Plugging Restoration","Bangert Well Service,Inc","A","$0.00","DNR - Natural Resources","3PS - Sent","08/24/2022","08/23/2024"
"23-416CMS-LEAS4-P-50182","","CMS 6560 AWARD NOTICE DHS OREGON","Kandu LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","05/01/2023","04/30/2028"
"23-416CMS-LEAS4-P-49995","","CMS 6339 AWARD NOTICE DHS CHICAGO","MBA Enterprises - 3, Inc","M","$0.00","CMS - Central Management Services","3PS - Sent","05/01/2023","04/30/2025"
"23-416CMS-LEAS4-P-49653","","CMS L6590AWARD NOTICE DHS CHICAGO","MBA Enterprises - 3, Inc","M","$0.00","CMS - Central Management Services","3PS - Sent","05/01/2023","04/30/2025"
"23-416CMS-LEAS4-P-47057","","CMS 6387 AWARD NOTICE DHS AURORA","E.G.S. Dvelopment LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","05/01/2023","04/30/2028"
"23-416CMS-LEAS4-P-46963","","CMS 6815 RFI Rockford","175 Executive LLC","G","$0.00","CMS - Central Management Services","3PS - Sent","06/01/2023","05/31/2028"
"23-416CMS-LEAS4-P-45651","","CMS 4644 AWARD NOTICE IDES EFFINGHAM","Dan Dasenbrock","M","$0.00","CMS - Central Management Services","3PS - Sent","05/01/2023","04/30/2028"
"23-416CMS-LEAS4-P-45287","","CMS L6835 AWARD NOTICE DHS DANVILLE","Vermilion Development, Inc.","G","$0.00","CMS - Central Management Services","3PS - Sent","01/01/2023","12/31/2027"
"23-416CMS-LEAS4-P-44961","","CMS L6464 AWARD NOTICE DCFS DANVILLE","Vermilion Development, Inc.","M","$0.00","CMS - Central Management Services","3PS - Sent","01/01/2023","12/31/2027"
"23-416CMS-LEAS4-P-44209","","CMS L6837 AWARD NOTICE IWC SPRINGFIELD","400 South Ninth St Partnership","M","$0.00","CMS - Central Management Services","3PS - Sent","01/01/2023","12/31/2027"
"23-416CMS-LEAS4-P-43913","","CMS 5783 AWARD NOTICE DCEO SPRINGFIELD","Illinois Building","M","$0.00","CMS - Central Management Services","3PS - Sent","12/01/2022","11/30/2024"
"23-416CMS-LEAS4-P-43910","","CMS 6388 AWARD NOTICE HFS SPRINGFIELD","Springfield Realty LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","12/01/2022","11/29/2023"
"23-416CMS-LEAS4-P-43753","","CMS 6844 AWARD NOTICE DVA ROBINSON","Main Street Enterprises LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","01/01/2023","12/31/2027"
"23-416CMS-LEAS4-P-43283","","CMS 4731 AWARD NOTICE DHS STERLING","SSRT REALTY LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","02/01/2023","01/31/2028"
"23-416CMS-LEAS4-P-43067","","CMS 6355 LEASE AWARD DHS CHAMPAIGN","Elevate Champaign LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","11/01/2022","10/31/2024"
"23-416CMS-LEAS4-P-43056","","CMS L6269 AWARD NOTICE DHS CHICAGO","2650, LLC ","L","$0.00","CMS - Central Management Services","3PS - Sent","11/01/2022","10/31/2024"
"23-416CMS-LEAS4-P-42491","","CMS 6841 AWARD NOTICE DCEO SPRINGFIELD","Myers Family Real Estate of Springfield, LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","10/15/2022","10/13/2023"
"23-416CMS-LEAS4-P-42215","","CMS AWARD NOTICE 6503 ISP MINOOKA","R & J Young Enterprises, LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","11/01/2022","10/30/2023"
"23-416CMS-LEAS4-P-41499","","CMS 6839 AWARD NOTICE DVA CENTRAILIA","Rueter Laundry, LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","11/01/2022","10/31/2027"
"23-416CMS-LEAS4-P-41497","","CMS 6076 AWARD NOTICE IEMA DIXON","Ralph Edgar Trust Beneficiary-Ralph Edgar Properties","M","$0.00","CMS - Central Management Services","3PS - Sent","10/01/2022","09/30/2027"
